
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: læs
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: løkken
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: Læsø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ry
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ry
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ry
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ry
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ry
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ryu
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ry
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ry
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: c
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: �Ærø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: or�ø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: 
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: or�ø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: or�ø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: oråø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ��ærø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: orø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: or�ø
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ry
0.0 degrees Celsius | 0.0 ppt salinity | 0.0 centimeters | Location: ry
